regime,method,malicious_fraction,n_seeds,accuracy_pct_mean,accuracy_pct_sd,accuracy_pct_ci95_halfwidth,macro_precision_pct_mean,macro_precision_pct_sd,macro_precision_pct_ci95_halfwidth,macro_recall_pct_mean,macro_recall_pct_sd,macro_recall_pct_ci95_halfwidth,macro_f1_pct_mean,macro_f1_pct_sd,macro_f1_pct_ci95_halfwidth,auc_pct_mean,auc_pct_sd,auc_pct_ci95_halfwidth,mb_per_round_mean,mb_per_round_sd,mb_per_round_ci95_halfwidth,round_time_s_mean,round_time_s_sd,round_time_s_ci95_halfwidth,policy_block_pct_mean,policy_block_pct_sd,policy_block_pct_ci95_halfwidth,false_block_pct_mean,false_block_pct_sd,false_block_pct_ci95_halfwidth
Edge-IIoTset-calibrated,Local-only,0.0,10,92.99444444444444,0.4177557782492406,0.29882371883481806,93.07627780766776,0.4272335484790884,0.30560323618396007,92.24638298026457,0.4414930022400656,0.31580312622322154,92.63093988509222,0.4063335655155777,0.2906533277496248,96.17300280558382,0.3360496198790597,0.24037871491839782,0.08000000000000003,1.4628472785736255e-17,1.04638520070921e-17,8.34999999999999,1.6747652892626934e-15,1.1979716809910039e-15,0.0,0.0,0.0,0.0,0.0,0.0
Edge-IIoTset-calibrated,FedAvg,0.0,10,95.05277777777778,0.4339916651643166,0.31043736575282666,95.18462288537953,0.47374294187891053,0.3388717404634976,94.47222163109647,0.42320915267133113,0.302724556859937,94.80767322296307,0.4213152330742296,0.3013698225231629,97.12183230410429,0.31284353615704297,0.2237792359920575,8.569999999999997,1.8724445165742407e-15,1.3393730569077889e-15,32.06999999999998,3.3495305785253868e-15,2.3959433619820077e-15,0.0,0.0,0.0,0.0,0.0,0.0
Edge-IIoTset-calibrated,FedProx,0.0,10,95.45555555555555,0.41701631420127183,0.2982947748721882,95.25592393722756,0.3898321722483707,0.2788497622245043,95.15057853486492,0.39223807682794054,0.2805707231089756,95.19816760303104,0.38785432563795286,0.2774349942902658,98.0022768475507,0.5716588623472303,0.4089117040280968,8.379999999999999,0.0,0.0,32.770000000000024,4.736951571734001e-15,3.3883755971927454e-15,0.0,0.0,0.0,0.0,0.0,0.0
Edge-IIoTset-calibrated,FD-only,0.0,10,96.85277777777777,0.3619529598308555,0.25890756066429677,96.9357355102643,0.3328371364404654,0.2380808023632703,96.4835185006523,0.3938199451085816,0.28170224489021584,96.69976731182588,0.3584880482731297,0.25642908445637314,98.40393539008156,0.27104880170953954,0.19388316123838806,1.8500000000000008,2.340555645717801e-16,1.674216321134736e-16,22.629999999999995,4.1023203976182695e-15,2.9344193447321855e-15,0.0,0.0,0.0,0.0,0.0,0.0
Edge-IIoTset-calibrated,BC-FL,0.0,10,97.19444444444443,0.2856897892692842,0.20435596515351895,97.17625662218873,0.274465134915168,0.1963268890009654,96.91152565285026,0.27303331630568584,0.19530269883087253,97.03849487069753,0.26702884951758843,0.19100766046477502,98.39714928966514,0.31777801293054647,0.2273089027895868,4.990000000000001,0.0,0.0,27.600000000000016,2.3684757858670005e-15,1.6941877985963727e-15,60.19324870243702,1.0967263776106684,0.7844962817158943,5.687337968283611,0.38070394111211225,0.2723202727080407
Edge-IIoTset-calibrated,TrustAgent-IIoT,0.0,10,98.23888888888891,0.20795232649822057,0.1487497978004653,98.12418239938941,0.19284405617612982,0.13794274315784746,98.08953752958328,0.21082326181297875,0.15080339852116773,98.10437103320186,0.1975183111123543,0.14128627139982253,99.10506314636834,0.22859707298131102,0.16351713374093552,1.4600000000000004,2.340555645717801e-16,1.674216321134736e-16,20.489999999999988,2.6480364301304245e-15,1.894159542156106e-15,96.14989531415218,0.7792068128557339,0.5573722487688889,2.2312689042117873,0.15576014915677758,0.11141635721319634
Edge-IIoTset-calibrated,FedAvg,0.1,10,91.21944444444443,0.30889033217533324,0.22095148069426646,91.50146073337041,0.3859817709560376,0.2760955424312956,90.36242051287388,0.37075785299395475,0.2652057641983501,90.8769687637309,0.30393722759390956,0.21740848929148626,95.64299641713052,0.44010092312090754,0.3148073619969493,8.569999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,FedProx,0.1,10,92.55555555555557,0.44790320823880686,0.3203883927707456,92.21407928699504,0.3990313353606826,0.2854299898946266,92.21568617070757,0.3779085854747511,0.2703207346752627,92.20366410620429,0.378607534828653,0.27082069818524807,96.81156546535284,0.3997791465242606,0.28596490460920715,8.379999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,BC-FL,0.1,10,95.08888888888889,0.33558907526146065,0.24004928403440848,94.98276643376752,0.3739347829191636,0.2674782450691285,94.68804922834137,0.30947634874207613,0.22137066256772087,94.82753874173461,0.33113134908256026,0.23686064037301166,97.6590792880202,0.2904574237940644,0.20776628848814943,4.99,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,TrustAgent-IIoT,0.1,10,97.45833333333334,0.23101805462730715,0.16524887935967783,97.27604331563053,0.19359982160587075,0.13848334761633863,97.26718759133878,0.2839462374621558,0.20310878998057275,97.26818235388725,0.23527419781175904,0.16829332925239138,98.9223420955147,0.19114766074841646,0.13672929928294014,1.4600000000000002,2.340555645717801e-16,1.674216321134736e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,FedAvg,0.2,10,86.575,0.6326249558032601,0.45252119004337493,86.6438056304419,0.679084773206101,0.4857542322549909,85.47367892062752,0.5762817791083088,0.4122185097034096,85.99043305035741,0.5505417459275377,0.3938064784677324,93.35670103577138,0.46646180593642,0.33366349145065266,8.569999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,FedProx,0.2,10,88.43055555555556,0.6894574018141542,0.493173848251066,87.88836785214107,0.7081868881041845,0.5065711847726772,88.0431253001208,0.7159679585253237,0.5121370405209923,87.94974659134584,0.7133412297704292,0.5102581225124913,94.56188554159388,0.5047745662121594,0.3610688849856113,8.379999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,BC-FL,0.2,10,91.79444444444445,0.6463201736011626,0.4623174780319527,91.55762869799612,0.617697415433416,0.4418434128380712,91.2732284242172,0.680471483560064,0.486746156164828,91.40404209743738,0.637708399599827,0.4561574140260666,96.07669580687507,0.6031574314814772,0.43144285753150946,4.99,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,TrustAgent-IIoT,0.2,10,95.9361111111111,0.5715371063397199,0.4088246110784619,95.71646251001377,0.5426336373153645,0.3881497513858407,95.72891098203573,0.5716124928300811,0.4088785355783074,95.71750783979437,0.5518419163871191,0.3947364997674486,98.3234200562927,0.28734173503306765,0.20553761386348052,1.4600000000000002,2.340555645717801e-16,1.674216321134736e-16,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,FedAvg,0.3,10,79.36666666666667,1.0585402895410334,0.7571814977228546,79.31466623494819,1.1047378549120772,0.7902269491661466,77.80265472070418,1.4117981726856705,1.0098694073704286,78.41267105987137,1.276080842572039,0.9127898230619814,90.23674701334562,0.711828706091578,0.509176203424659,8.569999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
Edge-IIoTset-calibrated,FedProx,0.3,10,82.48055555555555,0.6734543854841563,0.48172677534079933,81.71773732904308,0.5559397594483114,0.39766771644116833,82.04056273393135,0.7645165820605463,0.546864220812563,81.84321809148071,0.6459644951670871,0.4620630586847801,91.88482441255704,0.4533089518098471,0.3242551601048455,8.379999999999999,1.8724445165742407e-15,1.3393730569077889e-15,nan,nan,nan,nan,nan,nan,nan,nan,nan
