method,cpu_utilization_pct,peak_memory_mb,energy_j_per_round,evidence_status,cpu_formula,memory_formula,energy_formula,boundary
Local-only,43.25,620.0,9.513,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
FedAvg,61.0,812.0,18.4065,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
FedProx,62.0,804.0,18.610000000000003,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
FD-only,52.3,668.06,13.3705,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
BC-FL,55.7,729.6,15.8965,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
TrustAgent-IIoT,55.8,704.0,14.319999999999999,configured_model_estimate,32 + 0.25*ops_M + 1.8*policy + 1.2*ledger + 0.8*distillation,480 + 40*model_Mparams + 18*buffer_MB,0.20*CPU + 0.10*round_s + 0.35*MB + 0.35*policy + 0.25*ledger,Raspberry-Pi-class capacity model; not instrumented hardware measurement
